State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
IL,2010,16,IL-16,H0IL16085,"Manzullo, Donald A.",138299,0.6500,1,Republican,1,1,0,0,212761,1200284.03,1133359.72,2
IL,2004,16,IL-16,H0IL16085,"Manzullo, Donald A. ",204350,0.6908,1,Republican,1,1,1,1,295806,1081268.56,1078357.51,2
CT,2008,3,CT-3,H0CT03072,"DeLauro, Rosa L.",1,1.0000,1,Democrat,0,1,1,1,297368,1098934.63,1098934.63,1
IL,2010,17,IL-17,H0IL17059,"Schilling, Bobby",104583,0.5258,1,Republican,1,0,0,0,198898,2876808.69,1117730.53,2
CT,2016,3,CT-3,H0CT03072,"DeLauro, Rosa L.",1,1.0000,1,Democrat,0,1,1,1,309379,1150878.91,1150878.91,1
WA,2010,8,WA-8,H0WA08046,"DelBene, Suzan",148581,0.4795,0,Democrat,0,0,0,1,309877,6712786.01,3942493.42,2
CA,2012,47,CA-47,H2CA47105,"DeLong, Gary",99919,0.4344,0,Republican,1,0,1,0,230012,2593749.55,1418740.41,2
IN,2016,6,IN-6,H0IN02125,"Messer, Luke ",204920,0.6914,1,Republican,1,1,1,0,296385,1356932.20,1356932.20,1
IN,2012,6,IN-6,H0IN02125,"Messer, Luke",162613,0.5908,1,Republican,1,0,1,0,275253,1195676.02,1115097.24,3
IN,2014,6,IN-6,H0IN02125,"Messer, Luke",102187,0.6590,1,Republican,1,1,0,0,155071,877257.44,869108.07,2
FL,2012,10,FL-10,H2FL08063,"Demings, Val B.",153574,0.4825,0,Democrat,0,0,1,1,318269,3454052.35,1955180.29,2
IN,2016,2,IN-2,H0IN02190,"Walorski, Jackie",164355,0.5926,1,Republican,1,1,1,0,277357,2729586.62,2080501.63,2
CA,2014,10,CA-10,H0CA19173,"Denham, Jeff",70582,0.5615,1,Republican,1,1,0,0,125705,3044757.19,1753320.93,2
